TransactionID,Dairy,Pulses,Veg n Fruits
100192,Butter,Rice,Fruits
100193,Milk,Rajma,Vegetables
100194,Butter,Rajma,Vegetables
100195,Cheese,Rajma,Fruits
100196,Milk,Rajma,Fruits
100197,Milk,Rajma,Fruits
100198,Cheese,Rice,Vegetables
100199,Cheese,Dal,Vegetables
100200,Cheese,Rajma,Fruits
100201,Milk,Dal,Vegetables
100202,Cheese,Rice,Vegetables
100203,Flavored Milk,Rice,Vegetables
100204,Butter,Dal,Vegetables
100205,Cheese,Dal,Vegetables
100206,Cheese,Rice,Vegetables
100207,Milk,Dal,Vegetables
100208,Cheese,Dal,Fruits
100209,Butter,Dal,Fruits
100210,Butter,Dal,Vegetables
100211,Flavored Milk,Dal,Fruits
100212,Butter,Dal,Fruits
100213,Cheese,Dal,Vegetables
100214,Cheese,Rajma,Vegetables
100215,Butter,Rice,Fruits
100216,Milk,Rice,Fruits
100217,Flavored Milk,Dal,Fruits
100218,Milk,Rajma,Fruits
100219,Flavored Milk,Dal,Fruits
100220,Butter,Rice,Vegetables
100221,Milk,Dal,Fruits
100222,Flavored Milk,Rajma,Vegetables
100223,Milk,Rajma,Fruits
100224,Milk,Rajma,Vegetables
100225,Butter,Rice,Vegetables
100226,Milk,Rice,Fruits
100227,Cheese,Dal,Vegetables
100228,Cheese,Rice,Fruits
100229,Cheese,Rajma,Vegetables
100230,Cheese,Rice,Fruits
100231,Butter,Dal,Fruits
100232,Flavored Milk,Rice,Fruits
100233,Milk,Dal,Fruits
100234,Milk,Dal,Fruits
100235,Cheese,Rice,Fruits
100236,Cheese,Rice,Fruits
100237,Flavored Milk,Dal,Fruits
100238,Flavored Milk,Rice,Vegetables
100239,Butter,Dal,Vegetables
100240,Milk,Rice,Fruits
100241,Flavored Milk,Rice,Fruits
100242,Flavored Milk,Rajma,Vegetables
100243,Flavored Milk,Dal,Fruits
100244,Butter,Rajma,Fruits
100245,Butter,Rajma,Fruits
100246,Cheese,Rajma,Fruits
100247,Milk,Dal,Vegetables
100248,Cheese,Rajma,Vegetables
100249,Milk,Rajma,Vegetables
100250,Butter,Rajma,Vegetables
100251,Milk,Dal,Fruits
100252,Butter,Dal,Fruits
100253,Flavored Milk,Rajma,Fruits
100254,Cheese,Dal,Vegetables
100255,Butter,Rice,Fruits
100256,Milk,Rice,Fruits
100257,Butter,Rajma,Vegetables
100258,Cheese,Dal,Fruits
100259,Flavored Milk,Dal,Fruits
100260,Flavored Milk,Rajma,Vegetables
100261,Flavored Milk,Dal,Fruits
100262,Flavored Milk,Rajma,Vegetables
100263,Butter,Rice,Fruits
100264,Cheese,Dal,Vegetables
100265,Milk,Rice,Vegetables
100266,Milk,Dal,Fruits
100267,Milk,Dal,Vegetables
100268,Flavored Milk,Rice,Fruits
100269,Cheese,Rice,Vegetables
100270,Flavored Milk,Rice,Vegetables
100271,Butter,Rice,Vegetables
100272,Milk,Dal,Fruits
100273,Cheese,Rice,Fruits
100274,Cheese,Rice,Vegetables
100275,Flavored Milk,Rajma,Vegetables
100276,Flavored Milk,Dal,Fruits
100277,Flavored Milk,Rice,Vegetables
100278,Cheese,Dal,Fruits
100279,Butter,Rajma,Vegetables
100280,Flavored Milk,Dal,Fruits
100281,Butter,Rajma,Fruits
100282,Milk,Rice,Fruits
100283,Butter,Rajma,Vegetables
100284,Flavored Milk,Dal,Fruits
100285,Milk,Rajma,Fruits
100286,Milk,Rice,Fruits
100287,Milk,Dal,Vegetables
100288,Butter,Dal,Fruits
100289,Cheese,Rice,Vegetables
100290,Milk,Rajma,Fruits
100291,Flavored Milk,Rajma,Vegetables
100292,Cheese,Rice,Vegetables
100293,Flavored Milk,Rajma,Vegetables
100294,Butter,Rajma,Vegetables
100295,Milk,Rajma,Vegetables
100296,Cheese,Dal,Fruits
100297,Milk,Rice,Vegetables
100298,Flavored Milk,Rajma,Vegetables
100299,Butter,Rice,Fruits
100300,Cheese,Rajma,Fruits
100301,Cheese,Rajma,Fruits
100302,Milk,Rice,Fruits
100303,Cheese,Dal,Vegetables
100304,Milk,Dal,Vegetables
100305,Butter,Rajma,Fruits
100306,Cheese,Rice,Vegetables
100307,Butter,Dal,Fruits
100308,Milk,Dal,Vegetables
100309,Flavored Milk,Rice,Fruits
100310,Flavored Milk,Dal,Fruits
100311,Flavored Milk,Rajma,Fruits
100312,Milk,Rice,Vegetables
100313,Butter,Rice,Fruits
100314,Flavored Milk,Rice,Vegetables
100315,Cheese,Dal,Vegetables
100316,Flavored Milk,Dal,Vegetables
100317,Butter,Dal,Fruits
100318,Milk,Rajma,Vegetables
100319,Flavored Milk,Rice,Fruits
100320,Cheese,Rice,Vegetables
100321,Butter,Rajma,Vegetables
100322,Milk,Rice,Fruits
100323,Milk,Rice,Fruits
100324,Flavored Milk,Rajma,Vegetables
100325,Butter,Rajma,Fruits
100326,Butter,Rajma,Vegetables
100327,Flavored Milk,Rice,Fruits
100328,Butter,Rice,Fruits
100329,Cheese,Rice,Vegetables
100330,Cheese,Rice,Vegetables
100331,Cheese,Rajma,Fruits
100332,Butter,Rajma,Fruits
100333,Flavored Milk,Rajma,Fruits
100334,Milk,Dal,Vegetables
100335,Milk,Dal,Vegetables
100336,Flavored Milk,Dal,Vegetables
100337,Cheese,Rice,Vegetables
100338,Butter,Rajma,Vegetables
100339,Milk,Rice,Vegetables
100340,Flavored Milk,Rajma,Vegetables
100341,Milk,Dal,Vegetables
100342,Cheese,Rice,Vegetables
100343,Cheese,Rice,Vegetables
100344,Butter,Dal,Vegetables
100345,Milk,Rice,Fruits
100346,Milk,Dal,Vegetables
100347,Milk,Rice,Vegetables
100348,Milk,Rajma,Fruits
100349,Flavored Milk,Rajma,Vegetables
100350,Milk,Rajma,Fruits
100351,Butter,Rajma,Fruits
100352,Milk,Rice,Fruits
100353,Butter,Rice,Vegetables
100354,Cheese,Rajma,Fruits
100355,Butter,Rajma,Fruits
100356,Butter,Rajma,Fruits
100357,Milk,Dal,Vegetables
100358,Cheese,Rajma,Fruits
100359,Butter,Rajma,Fruits
100360,Cheese,Dal,Fruits
100361,Cheese,Rajma,Vegetables
100362,Butter,Rice,Fruits
100363,Milk,Rajma,Vegetables
100364,Cheese,Rajma,Vegetables
100365,Butter,Dal,Vegetables
100366,Butter,Rice,Fruits
100367,Flavored Milk,Rice,Fruits
100368,Milk,Rajma,Fruits
100369,Flavored Milk,Rajma,Fruits
100370,Flavored Milk,Dal,Vegetables
100371,Cheese,Rice,Fruits
100372,Milk,Dal,Fruits
100373,Milk,Dal,Vegetables
100374,Butter,Rajma,Vegetables
100375,Flavored Milk,Rice,Fruits
100376,Flavored Milk,Rajma,Vegetables
100377,Cheese,Rice,Fruits
100378,Cheese,Rajma,Fruits
100379,Butter,Dal,Vegetables
100380,Cheese,Rajma,Vegetables
100381,Flavored Milk,Rice,Fruits
100382,Butter,Rice,Vegetables
100383,Flavored Milk,Dal,Vegetables
100384,Milk,Dal,Fruits
100385,Cheese,Rice,Fruits
100386,Flavored Milk,Rajma,Vegetables
100387,Butter,Rice,Fruits
100388,Cheese,Rajma,Vegetables
100389,Milk,Rice,Vegetables
100390,Butter,Rice,Vegetables
100391,Milk,Rice,Fruits
100392,Butter,Rajma,Vegetables
100393,Butter,Rice,Vegetables
100394,Butter,Dal,Fruits
100395,Butter,Dal,Fruits
100396,Butter,Rice,Vegetables
100397,Milk,Dal,Vegetables
100398,Butter,Dal,Fruits
100399,Milk,Rajma,Fruits
100400,Butter,Rajma,Fruits
100401,Milk,Dal,Vegetables
100402,Butter,Dal,Vegetables
100403,Milk,Rajma,Fruits
100404,Butter,Rajma,Vegetables
100405,Flavored Milk,Rice,Vegetables
100406,Flavored Milk,Rajma,Vegetables
100407,Butter,Dal,Vegetables
100408,Milk,Dal,Fruits
100409,Cheese,Dal,Vegetables
100410,Flavored Milk,Rice,Fruits
100411,Milk,Rajma,Fruits
100412,Flavored Milk,Dal,Fruits
100413,Butter,Rajma,Vegetables
100414,Milk,Rice,Vegetables
100415,Flavored Milk,Dal,Fruits
100416,Cheese,Rice,Fruits
100417,Cheese,Dal,Vegetables
100418,Flavored Milk,Dal,Fruits
100419,Flavored Milk,Dal,Vegetables
100420,Butter,Dal,Fruits
100421,Milk,Rajma,Fruits
100422,Cheese,Rajma,Fruits
100423,Cheese,Rice,Vegetables
100424,Butter,Rajma,Vegetables
100425,Milk,Dal,Fruits
100426,Milk,Dal,Fruits
100427,Cheese,Rajma,Vegetables
100428,Flavored Milk,Rajma,Vegetables
100429,Cheese,Rice,Vegetables
100430,Butter,Rajma,Fruits
100431,Cheese,Rajma,Vegetables
100432,Milk,Dal,Vegetables
100433,Milk,Rice,Fruits
100434,Flavored Milk,Rajma,Fruits
100435,Butter,Rajma,Fruits
100436,Flavored Milk,Rice,Vegetables
100437,Cheese,Dal,Fruits
100438,Flavored Milk,Rajma,Fruits
100439,Milk,Dal,Vegetables
100440,Cheese,Rajma,Vegetables
100441,Milk,Rajma,Vegetables
100442,Cheese,Dal,Fruits
100443,Cheese,Rajma,Vegetables
100444,Milk,Rice,Vegetables
100445,Butter,Dal,Vegetables
100446,Milk,Rice,Fruits
100447,Milk,Rajma,Fruits
100448,Milk,Rice,Vegetables
100449,Milk,Rice,Vegetables
100450,Milk,Rice,Fruits
100451,Milk,Rajma,Vegetables
100452,Milk,Rajma,Fruits
100453,Butter,Rice,Fruits
100454,Cheese,Rajma,Fruits
100455,Butter,Rice,Fruits
100456,Flavored Milk,Dal,Fruits
100457,Butter,Rajma,Fruits
100458,Milk,Rice,Vegetables
100459,Butter,Dal,Vegetables
100460,Flavored Milk,Dal,Vegetables
100461,Milk,Rajma,Fruits
100462,Flavored Milk,Rajma,Fruits
100463,Flavored Milk,Rice,Fruits
100464,Flavored Milk,Rice,Fruits
100465,Milk,Rajma,Vegetables
100466,Cheese,Rajma,Fruits
100467,Butter,Rajma,Vegetables
100468,Butter,Rajma,Vegetables
100469,Cheese,Dal,Vegetables
100470,Flavored Milk,Rice,Vegetables
100471,Butter,Rajma,Fruits
100472,Butter,Rice,Vegetables
100473,Butter,Dal,Vegetables
100474,Milk,Dal,Vegetables
100475,Butter,Rice,Vegetables
100476,Butter,Dal,Vegetables
100477,Butter,Rice,Fruits
100478,Cheese,Dal,Fruits
100479,Butter,Rice,Fruits
100480,Cheese,Rice,Fruits
100481,Milk,Rajma,Vegetables
100482,Cheese,Rice,Fruits
100483,Butter,Rice,Vegetables
100484,Cheese,Rice,Fruits
100485,Butter,Rice,Vegetables
100486,Cheese,Rice,Vegetables
100487,Cheese,Rice,Vegetables
100488,Flavored Milk,Dal,Vegetables
100489,Cheese,Rice,Vegetables
100490,Cheese,Rice,Fruits
100491,Cheese,Rice,Fruits
100492,Cheese,Rice,Fruits
100493,Cheese,Rajma,Vegetables
100494,Butter,Dal,Fruits
100495,Cheese,Dal,Fruits
100496,Cheese,Rice,Vegetables
100497,Butter,Dal,Vegetables
100498,Cheese,Dal,Vegetables
100499,Flavored Milk,Rice,Fruits
100500,Milk,Dal,Vegetables
100501,Butter,Dal,Fruits
100502,Butter,Rice,Fruits
100503,Flavored Milk,Dal,Fruits
100504,Flavored Milk,Dal,Fruits
100505,Flavored Milk,Rajma,Vegetables
100506,Milk,Rajma,Fruits
100507,Cheese,Dal,Vegetables
100508,Milk,Dal,Vegetables
100509,Milk,Dal,Vegetables
100510,Flavored Milk,Rice,Vegetables
100511,Flavored Milk,Rice,Vegetables
100512,Butter,Rajma,Vegetables
100513,Flavored Milk,Dal,Vegetables
100514,Butter,Rajma,Vegetables
100515,Cheese,Dal,Fruits
100516,Butter,Dal,Fruits
100517,Butter,Dal,Vegetables
100518,Milk,Rice,Vegetables
100519,Milk,Rajma,Vegetables
100520,Cheese,Dal,Vegetables
100521,Cheese,Rajma,Fruits
100522,Flavored Milk,Rajma,Vegetables
100523,Butter,Rajma,Fruits
100524,Milk,Rice,Fruits
100525,Flavored Milk,Rice,Fruits
100526,Milk,Rajma,Vegetables
100527,Cheese,Rice,Fruits
100528,Milk,Rice,Vegetables
100529,Butter,Dal,Vegetables
100530,Flavored Milk,Dal,Vegetables
100531,Butter,Dal,Vegetables
100532,Cheese,Dal,Fruits
100533,Cheese,Rajma,Fruits
100534,Cheese,Rajma,Vegetables
100535,Milk,Rajma,Vegetables
100536,Cheese,Dal,Fruits
100537,Cheese,Rice,Fruits
100538,Milk,Rice,Vegetables
100539,Butter,Rajma,Fruits
100540,Flavored Milk,Dal,Vegetables
100541,Cheese,Dal,Vegetables
100542,Cheese,Dal,Vegetables
100543,Butter,Rice,Vegetables
100544,Flavored Milk,Rice,Vegetables
100545,Cheese,Rice,Fruits
100546,Butter,Rajma,Fruits
100547,Butter,Rice,Vegetables
100548,Butter,Rajma,Fruits
100549,Cheese,Rice,Vegetables
100550,Cheese,Rajma,Fruits
100551,Milk,Rajma,Vegetables
100552,Flavored Milk,Rice,Fruits
100553,Cheese,Dal,Vegetables
100554,Flavored Milk,Rajma,Fruits
100555,Cheese,Rice,Vegetables
100556,Cheese,Dal,Vegetables
100557,Flavored Milk,Dal,Vegetables
100558,Flavored Milk,Rice,Fruits
100559,Flavored Milk,Rice,Fruits
100560,Butter,Rice,Fruits
100561,Cheese,Rice,Fruits
100562,Butter,Rice,Fruits
100563,Milk,Rajma,Vegetables
100564,Flavored Milk,Rajma,Vegetables
100565,Butter,Dal,Fruits
100566,Flavored Milk,Rajma,Vegetables
100567,Cheese,Rice,Fruits
100568,Cheese,Rajma,Vegetables
100569,Milk,Rice,Fruits
100570,Flavored Milk,Dal,Vegetables
100571,Flavored Milk,Dal,Vegetables
100572,Milk,Rice,Fruits
100573,Butter,Rice,Fruits
100574,Milk,Rajma,Fruits
100575,Butter,Rice,Vegetables
100576,Flavored Milk,Rajma,Vegetables
100577,Flavored Milk,Dal,Vegetables
100578,Cheese,Dal,Fruits
100579,Butter,Rajma,Vegetables
100580,Flavored Milk,Rajma,Vegetables
100581,Cheese,Rajma,Vegetables
100582,Cheese,Dal,Fruits
100583,Butter,Rice,Vegetables
100584,Cheese,Rajma,Fruits
100585,Cheese,Rajma,Fruits
100586,Flavored Milk,Rajma,Vegetables
100587,Butter,Rajma,Vegetables
100588,Cheese,Dal,Fruits
100589,Cheese,Dal,Vegetables
100590,Flavored Milk,Dal,Fruits
100591,Cheese,Rajma,Fruits
100592,Milk,Rice,Fruits
100593,Flavored Milk,Dal,Vegetables
100594,Milk,Rice,Vegetables
100595,Butter,Dal,Vegetables
100596,Flavored Milk,Dal,Vegetables
100597,Flavored Milk,Dal,Fruits
100598,Cheese,Dal,Fruits
100599,Cheese,Rajma,Vegetables
100600,Butter,Rice,Fruits
100601,Cheese,Rice,Fruits
100602,Cheese,Rice,Vegetables
100603,Milk,Rice,Vegetables
100604,Butter,Rajma,Vegetables
100605,Cheese,Rice,Vegetables
100606,Flavored Milk,Rajma,Vegetables
100607,Butter,Rajma,Fruits
100608,Milk,Rice,Vegetables
100609,Flavored Milk,Dal,Fruits
100610,Cheese,Rajma,Fruits
100611,Milk,Rajma,Vegetables
100612,Milk,Rice,Fruits
100613,Milk,Rice,Vegetables
100614,Milk,Dal,Vegetables
100615,Butter,Dal,Fruits
100616,Butter,Rice,Fruits
100617,Butter,Rice,Fruits
100618,Cheese,Rajma,Vegetables
100619,Flavored Milk,Rajma,Fruits
100620,Flavored Milk,Rajma,Fruits
100621,Cheese,Dal,Fruits
100622,Cheese,Rajma,Fruits
100623,Milk,Dal,Vegetables
100624,Flavored Milk,Rajma,Vegetables
100625,Milk,Rajma,Fruits
100626,Flavored Milk,Dal,Fruits
100627,Milk,Rice,Fruits
100628,Butter,Rice,Vegetables
100629,Milk,Rice,Vegetables
100630,Milk,Rajma,Fruits
100631,Butter,Rajma,Vegetables
100632,Butter,Rice,Vegetables
100633,Cheese,Rice,Vegetables
100634,Flavored Milk,Rajma,Vegetables
100635,Milk,Rajma,Vegetables
100636,Flavored Milk,Dal,Vegetables
100637,Flavored Milk,Dal,Fruits
100638,Milk,Rajma,Vegetables
100639,Milk,Dal,Vegetables
100640,Milk,Dal,Vegetables
100641,Milk,Rajma,Vegetables
100642,Butter,Rice,Fruits
100643,Butter,Dal,Fruits
100644,Butter,Rajma,Vegetables
100645,Butter,Rice,Fruits
100646,Cheese,Rice,Fruits
100647,Cheese,Rice,Fruits
100648,Cheese,Rajma,Fruits
100649,Butter,Rice,Fruits
100650,Milk,Rajma,Fruits
100651,Flavored Milk,Rice,Fruits
100652,Butter,Rajma,Vegetables
100653,Flavored Milk,Dal,Vegetables
100654,Cheese,Rajma,Fruits
100655,Milk,Dal,Vegetables
100656,Cheese,Dal,Vegetables
100657,Milk,Rice,Fruits
100658,Flavored Milk,Rice,Vegetables
100659,Cheese,Rajma,Fruits
100660,Cheese,Dal,Vegetables
100661,Cheese,Rice,Fruits
100662,Flavored Milk,Rajma,Vegetables
100663,Butter,Dal,Vegetables
100664,Flavored Milk,Rice,Vegetables
100665,Cheese,Rajma,Vegetables
100666,Butter,Rice,Vegetables
100667,Flavored Milk,Dal,Vegetables
100668,Milk,Dal,Vegetables
100669,Cheese,Rajma,Vegetables
100670,Milk,Rice,Vegetables
100671,Flavored Milk,Rice,Fruits
100672,Flavored Milk,Dal,Vegetables
100673,Flavored Milk,Rice,Fruits
100674,Milk,Rice,Vegetables
100675,Butter,Rice,Vegetables
100676,Cheese,Dal,Vegetables
100677,Butter,Rajma,Vegetables
100678,Butter,Dal,Vegetables
100679,Flavored Milk,Rice,Vegetables
100680,Butter,Dal,Vegetables
100681,Flavored Milk,Rajma,Vegetables
100682,Cheese,Rice,Fruits
100683,Cheese,Rice,Fruits
100684,Cheese,Dal,Vegetables
100685,Flavored Milk,Rajma,Fruits
100686,Butter,Rajma,Fruits
100687,Milk,Dal,Vegetables
100688,Cheese,Dal,Vegetables
100689,Milk,Rice,Fruits
100690,Butter,Dal,Fruits
100691,Butter,Rajma,Vegetables
100692,Cheese,Rajma,Fruits
100693,Butter,Dal,Vegetables
100694,Butter,Rice,Fruits
100695,Flavored Milk,Rice,Vegetables
100696,Milk,Rice,Vegetables
100697,Butter,Rice,Fruits
100698,Butter,Rice,Fruits
100699,Flavored Milk,Dal,Vegetables
100700,Flavored Milk,Rice,Fruits
100701,Milk,Rice,Fruits
100702,Cheese,Rice,Vegetables
100703,Milk,Rice,Vegetables
100704,Butter,Rice,Fruits
100705,Butter,Dal,Vegetables
100706,Flavored Milk,Rice,Vegetables
100707,Flavored Milk,Dal,Vegetables
100708,Flavored Milk,Rice,Fruits
100709,Butter,Dal,Fruits
100710,Flavored Milk,Dal,Vegetables
100711,Butter,Rajma,Vegetables
100712,Milk,Rajma,Fruits
100713,Milk,Dal,Vegetables
100714,Milk,Rice,Vegetables
100715,Milk,Rice,Vegetables
100716,Milk,Dal,Vegetables
100717,Butter,Dal,Vegetables
100718,Butter,Dal,Fruits
100719,Flavored Milk,Rajma,Fruits
100720,Cheese,Dal,Vegetables
100721,Butter,Rajma,Fruits
100722,Milk,Rice,Vegetables
100723,Butter,Rajma,Fruits
100724,Cheese,Rice,Vegetables
100725,Butter,Dal,Fruits
100726,Butter,Dal,Vegetables
100727,Butter,Dal,Vegetables
100728,Milk,Dal,Vegetables
100729,Milk,Dal,Fruits
100730,Flavored Milk,Rajma,Fruits
100731,Milk,Dal,Fruits
100732,Cheese,Rajma,Fruits
100733,Cheese,Dal,Fruits
100734,Milk,Dal,Fruits
100735,Butter,Rajma,Fruits
100736,Butter,Dal,Vegetables
100737,Flavored Milk,Rajma,Vegetables
100738,Milk,Rice,Vegetables
100739,Butter,Rice,Vegetables
100740,Milk,Dal,Vegetables
100741,Milk,Dal,Fruits
100742,Cheese,Dal,Fruits
100743,Milk,Rajma,Vegetables
100744,Butter,Rice,Vegetables
100745,Cheese,Rajma,Fruits
100746,Milk,Dal,Fruits
100747,Milk,Rajma,Vegetables
100748,Flavored Milk,Rice,Fruits
100749,Cheese,Rajma,Vegetables
100750,Cheese,Rajma,Fruits
100751,Butter,Rice,Fruits
100752,Cheese,Rajma,Vegetables
100753,Cheese,Rice,Fruits
100754,Butter,Dal,Vegetables
100755,Cheese,Rajma,Fruits
100756,Butter,Rajma,Fruits
100757,Milk,Rajma,Vegetables
100758,Butter,Rice,Vegetables
100759,Cheese,Dal,Fruits
100760,Cheese,Rajma,Fruits
100761,Flavored Milk,Rajma,Vegetables
100762,Cheese,Dal,Fruits
100763,Butter,Dal,Vegetables
100764,Butter,Rajma,Vegetables
100765,Flavored Milk,Rajma,Vegetables
100766,Cheese,Rice,Fruits
100767,Cheese,Rice,Fruits
100768,Milk,Dal,Fruits
100769,Milk,Rice,Fruits
100770,Cheese,Dal,Fruits
100771,Flavored Milk,Rice,Fruits
100772,Cheese,Rajma,Fruits
100773,Milk,Dal,Vegetables
100774,Milk,Rice,Vegetables
